W0428 13:33:04.937000 148385 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s
Topic token mapping: 8 topics registered

step 0082 (1.0%) | lm: 4.0981 | topic: 1.250 | lr: 6.21e-04 | tok/s: 66,850 | vram: 4372MB | remain: 1781s   
step 0083 (1.0%) | lm: 4.0863 | topic: 1.411 | lr: 6.29e-04 | tok/s: 66,092 | vram: 4372MB | remain: 1781s   
step 0084 (1.1%) | lm: 4.0340 | topic: 1.441 | lr: 6.37e-04 | tok/s: 66,097 | vram: 4372MB | remain: 1781s   
step 0085 (1.1%) | lm: 4.0052 | topic: 1.489 | lr: 6.46e-04 | tok/s: 67,109 | vram: 4372MB | remain: 1780s   
step 0086 (1.1%) | lm: 3.9779 | topic: 1.531 | lr: 6.54e-04 | tok/s: 65,746 | vram: 4372MB | remain: 1780s   
step 0087 (1.1%) | lm: 3.9303 | topic: 1.533 | lr: 6.62e-04 | tok/s: 66,855 | vram: 4372MB | remain: 1780s   
step 0088 (1.1%) | lm: 3.9124 | topic: 1.531 | lr: 6.70e-04 | tok/s: 65,874 | vram: 4372MB | remain: 1780s   
step 0089 (1.1%) | lm: 3.8811 | topic: 1.484 | lr: 6.79e-04 | tok/s: 66,665 | vram: 4372MB | remain: 1779s   
step 0090 (1.1%) | lm: 3.8336 | topic: 1.460 | lr: 6.87e-04 | tok/s: 66,488 | vram: 4372MB | remain: 1779s   
step 0091 (1.2%) | lm: 3.8197 | topic: 1.452 | lr: 6.95e-04 | tok/s: 66,834 | vram: 4372MB | remain: 1779s   
step 0092 (1.2%) | lm: 3.8164 | topic: 1.433 | lr: 7.03e-04 | tok/s: 66,181 | vram: 4372MB | remain: 1779s   
step 0093 (1.2%) | lm: 3.8048 | topic: 1.456 | lr: 7.11e-04 | tok/s: 66,370 | vram: 4372MB | remain: 1778s   
step 0094 (1.2%) | lm: 3.7823 | topic: 1.447 | lr: 7.20e-04 | tok/s: 66,402 | vram: 4372MB | remain: 1778s   
step 0095 (1.2%) | lm: 3.7567 | topic: 1.436 | lr: 7.28e-04 | tok/s: 67,157 | vram: 4372MB | remain: 1778s   
step 0096 (1.2%) | lm: 3.7130 | topic: 1.292 | lr: 7.36e-04 | tok/s: 66,327 | vram: 4372MB | remain: 1778s   
step 0097 (1.2%) | lm: 3.6827 | topic: 1.317 | lr: 7.44e-04 | tok/s: 66,858 | vram: 4372MB | remain: 1777s   
step 0098 (1.3%) | lm: 3.6720 | topic: 1.379 | lr: 7.52e-04 | tok/s: 66,488 | vram: 4372MB | remain: 1777s   
step 0099 (1.3%) | lm: 3.6374 | topic: 1.442 | lr: 7.61e-04 | tok/s: 67,030 | vram: 4372MB | remain: 1777s   
step 0100 (1.3%) | lm: 3.6251 | topic: 1.298 | lr: 7.69e-04 | tok/s: 66,410 | vram: 4372MB | remain: 1777s   
step 0101 (1.3%) | lm: 3.6065 | topic: 1.327 | lr: 7.77e-04 | tok/s: 66,390 | vram: 4372MB | remain: 1776s   
step 0102 (1.3%) | lm: 3.6206 | topic: 1.362 | lr: 7.85e-04 | tok/s: 66,239 | vram: 4372MB | remain: 1776s   
step 0103 (1.3%) | lm: 3.6048 | topic: 1.365 | lr: 7.93e-04 | tok/s: 66,062 | vram: 4372MB | remain: 1776s   
step 0104 (1.3%) | lm: 3.5906 | topic: 1.395 | lr: 8.02e-04 | tok/s: 66,060 | vram: 4372MB | remain: 1776s   
step 0105 (1.3%) | lm: 3.5518 | topic: 1.377 | lr: 8.10e-04 | tok/s: 65,586 | vram: 4372MB | remain: 1775s   
step 0106 (1.4%) | lm: 3.5607 | topic: 1.382 | lr: 8.18e-04 | tok/s: 66,459 | vram: 4372MB | remain: 1775s   
step 0107 (1.4%) | lm: 3.5624 | topic: 1.244 | lr: 8.26e-04 | tok/s: 66,622 | vram: 4372MB | remain: 1775s   
step 0108 (1.4%) | lm: 3.5428 | topic: 1.292 | lr: 8.35e-04 | tok/s: 66,869 | vram: 4372MB | remain: 1775s   
step 0109 (1.4%) | lm: 3.5347 | topic: 1.163 | lr: 8.43e-04 | tok/s: 65,498 | vram: 4372MB | remain: 1774s   
step 0110 (1.4%) | lm: 3.4987 | topic: 1.202 | lr: 8.51e-04 | tok/s: 66,664 | vram: 4372MB | remain: 1774s   
step 0111 (1.4%) | lm: 3.4885 | topic: 1.213 | lr: 8.59e-04 | tok/s: 66,456 | vram: 4372MB | remain: 1774s   
step 0112 (1.4%) | lm: 3.4548 | topic: 1.232 | lr: 8.68e-04 | tok/s: 67,092 | vram: 4372MB | remain: 1774s   
step 0113 (1.5%) | lm: 3.4450 | topic: 1.218 | lr: 8.76e-04 | tok/s: 66,062 | vram: 4372MB | remain: 1773s   
step 0114 (1.5%) | lm: 3.4090 | topic: 1.234 | lr: 8.84e-04 | tok/s: 66,210 | vram: 4372MB | remain: 1773s   
step 0115 (1.5%) | lm: 3.3963 | topic: 1.206 | lr: 8.92e-04 | tok/s: 66,092 | vram: 4372MB | remain: 1773s   
step 0116 (1.5%) | lm: 3.4024 | topic: 1.229 | lr: 9.00e-04 | tok/s: 66,563 | vram: 4372MB | remain: 1773s   
step 0117 (1.5%) | lm: 3.3731 | topic: 1.241 | lr: 9.09e-04 | tok/s: 66,161 | vram: 4372MB | remain: 1772s   
step 0118 (1.5%) | lm: 3.3843 | topic: 1.211 | lr: 9.17e-04 | tok/s: 66,492 | vram: 4372MB | remain: 1772s   
step 0119 (1.5%) | lm: 3.3438 | topic: 1.210 | lr: 9.25e-04 | tok/s: 66,197 | vram: 4372MB | remain: 1772s   
step 0120 (1.6%) | lm: 3.3314 | topic: 1.240 | lr: 9.33e-04 | tok/s: 66,093 | vram: 4372MB | remain: 1772s   
step 0121 (1.6%) | lm: 3.2917 | topic: 1.116 | lr: 9.42e-04 | tok/s: 66,493 | vram: 4372MB | remain: 1772s   
step 0122 (1.6%) | lm: 3.2511 | topic: 1.109 | lr: 9.50e-04 | tok/s: 65,810 | vram: 4372MB | remain: 1771s   
step 0123 (1.6%) | lm: 3.2325 | topic: 1.087 | lr: 9.58e-04 | tok/s: 65,950 | vram: 4372MB | remain: 1771s   
step 0124 (1.6%) | lm: 3.2180 | topic: 1.162 | lr: 9.66e-04 | tok/s: 66,395 | vram: 4372MB | remain: 1771s   
step 0125 (1.6%) | lm: 3.1812 | topic: 1.073 | lr: 9.75e-04 | tok/s: 66,868 | vram: 4372MB | remain: 1771s   
step 0126 (1.6%) | lm: 3.1587 | topic: 1.071 | lr: 9.83e-04 | tok/s: 65,997 | vram: 4372MB | remain: 1770s   
step 0127 (1.7%) | lm: 3.1553 | topic: 1.107 | lr: 9.91e-04 | tok/s: 66,256 | vram: 4372MB | remain: 1770s   
step 0128 (1.7%) | lm: 3.1216 | topic: 1.094 | lr: 9.99e-04 | tok/s: 66,606 | vram: 4372MB | remain: 1770s   
step 0129 (1.7%) | lm: 3.1000 | topic: 1.070 | lr: 1.01e-03 | tok/s: 66,477 | vram: 4372MB | remain: 1770s   
step 0130 (1.7%) | lm: 3.1265 | topic: 0.963 | lr: 1.02e-03 | tok/s: 66,095 | vram: 4372MB | remain: 1769s   
step 0131 (1.7%) | lm: 3.1237 | topic: 1.028 | lr: 1.02e-03 | tok/s: 66,016 | vram: 4372MB | remain: 1769s   
step 0132 (1.7%) | lm: 3.1211 | topic: 1.052 | lr: 1.03e-03 | tok/s: 66,277 | vram: 4372MB | remain: 1769s   
step 0133 (1.7%) | lm: 3.0903 | topic: 1.099 | lr: 1.04e-03 | tok/s: 66,630 | vram: 4372MB | remain: 1769s   
step 0134 (1.7%) | lm: 3.0851 | topic: 1.183 | lr: 1.05e-03 | tok/s: 65,742 | vram: 4372MB | remain: 1768s   
step 0135 (1.8%) | lm: 3.0714 | topic: 1.196 | lr: 1.06e-03 | tok/s: 66,190 | vram: 4372MB | remain: 1768s   
step 0136 (1.8%) | lm: 3.0730 | topic: 1.216 | lr: 1.07e-03 | tok/s: 66,762 | vram: 4372MB | remain: 1768s   
step 0137 (1.8%) | lm: 3.1010 | topic: 1.197 | lr: 1.07e-03 | tok/s: 65,979 | vram: 4372MB | remain: 1768s   
step 0138 (1.8%) | lm: 3.0955 | topic: 1.181 | lr: 1.08e-03 | tok/s: 65,879 | vram: 4372MB | remain: 1767s   
step 0139 (1.8%) | lm: 3.1100 | topic: 1.201 | lr: 1.09e-03 | tok/s: 66,202 | vram: 4372MB | remain: 1767s   
