W0428 12:20:17.796000 110737 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50,257
Parameters: 67,213,824  (67.2M)
Architecture: prelude=2 + core×1 + coda=2
MoE: False  |  LTI: False  |  LoRA: 0  |  GradCkpt: True
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s

step 0128 (1.6%) | loss: 3.2600 | lr: 9.51e-04 | dt: 236ms | tok/s: 69,512 | vram: 2039MB | remain: 1771s   
step 0129 (1.6%) | loss: 3.2527 | lr: 9.58e-04 | dt: 232ms | tok/s: 70,677 | vram: 2039MB | remain: 1771s   
step 0130 (1.6%) | loss: 3.2478 | lr: 9.66e-04 | dt: 239ms | tok/s: 68,678 | vram: 2039MB | remain: 1771s   
step 0131 (1.6%) | loss: 3.2747 | lr: 9.74e-04 | dt: 236ms | tok/s: 69,496 | vram: 2039MB | remain: 1771s   
step 0132 (1.6%) | loss: 3.2720 | lr: 9.82e-04 | dt: 234ms | tok/s: 69,910 | vram: 2039MB | remain: 1770s   
step 0133 (1.6%) | loss: 3.2272 | lr: 9.90e-04 | dt: 237ms | tok/s: 69,053 | vram: 2039MB | remain: 1770s   
step 0134 (1.7%) | loss: 3.2196 | lr: 9.98e-04 | dt: 234ms | tok/s: 70,074 | vram: 2039MB | remain: 1770s   
step 0135 (1.7%) | loss: 3.2089 | lr: 1.01e-03 | dt: 236ms | tok/s: 69,299 | vram: 2039MB | remain: 1770s   
step 0136 (1.7%) | loss: 3.2126 | lr: 1.01e-03 | dt: 235ms | tok/s: 69,648 | vram: 2039MB | remain: 1769s   
step 0137 (1.7%) | loss: 3.1717 | lr: 1.02e-03 | dt: 236ms | tok/s: 69,515 | vram: 2039MB | remain: 1769s   
step 0138 (1.7%) | loss: 3.1717 | lr: 1.03e-03 | dt: 237ms | tok/s: 69,200 | vram: 2039MB | remain: 1769s   
step 0139 (1.7%) | loss: 3.1560 | lr: 1.04e-03 | dt: 234ms | tok/s: 69,926 | vram: 2039MB | remain: 1769s   
step 0140 (1.7%) | loss: 3.1535 | lr: 1.04e-03 | dt: 235ms | tok/s: 69,824 | vram: 2039MB | remain: 1768s   
step 0141 (1.8%) | loss: 3.1434 | lr: 1.05e-03 | dt: 239ms | tok/s: 68,605 | vram: 2039MB | remain: 1768s   
step 0142 (1.8%) | loss: 3.1001 | lr: 1.06e-03 | dt: 238ms | tok/s: 68,907 | vram: 2039MB | remain: 1768s   
step 0143 (1.8%) | loss: 3.0883 | lr: 1.07e-03 | dt: 237ms | tok/s: 69,121 | vram: 2039MB | remain: 1768s   
step 0144 (1.8%) | loss: 3.0726 | lr: 1.08e-03 | dt: 237ms | tok/s: 69,200 | vram: 2039MB | remain: 1767s   
step 0145 (1.8%) | loss: 3.0732 | lr: 1.08e-03 | dt: 235ms | tok/s: 69,641 | vram: 2039MB | remain: 1767s   
step 0146 (1.8%) | loss: 3.0661 | lr: 1.09e-03 | dt: 237ms | tok/s: 69,006 | vram: 2039MB | remain: 1767s   
step 0147 (1.8%) | loss: 3.0680 | lr: 1.10e-03 | dt: 236ms | tok/s: 69,313 | vram: 2039MB | remain: 1767s   
step 0148 (1.8%) | loss: 3.0452 | lr: 1.11e-03 | dt: 233ms | tok/s: 70,274 | vram: 2039MB | remain: 1767s   
step 0149 (1.9%) | loss: 3.0349 | lr: 1.12e-03 | dt: 238ms | tok/s: 68,760 | vram: 2039MB | remain: 1766s   
step 0150 (1.9%) | loss: 3.0356 | lr: 1.12e-03 | dt: 237ms | tok/s: 69,145 | vram: 2039MB | remain: 1766s   
